field,probe,frequency_khz,psd
number_density,freestream,250.000000,6.85098861e+36
number_density,freestream,260.000000,2.21577957e+37
number_density,freestream,270.000000,1.20709875e+37
number_density,freestream,280.000000,9.66942329e+36
number_density,freestream,290.000000,2.68165977e+37
number_density,freestream,300.000000,9.87692669e+36
number_density,freestream,310.000000,1.87927226e+37
number_density,freestream,320.000000,9.61791394e+35
number_density,freestream,330.000000,1.99073003e+36
number_density,freestream,340.000000,2.74868173e+37
number_density,freestream,350.000000,3.16441841e+37
number_density,freestream,360.000000,2.96104916e+36
number_density,freestream,370.000000,5.54202379e+36
number_density,freestream,380.000000,1.91288580e+37
number_density,freestream,390.000000,5.08088156e+36
number_density,freestream,400.000000,3.81452159e+37
number_density,freestream,410.000000,1.03108191e+38
number_density,freestream,420.000000,2.95645751e+37
number_density,freestream,430.000000,2.11742513e+36
number_density,freestream,440.000000,1.64194850e+37
number_density,freestream,450.000000,4.30524673e+37
number_density,freestream,460.000000,4.94311051e+36
number_density,freestream,470.000000,4.34215341e+37
number_density,freestream,480.000000,3.91773477e+37
number_density,freestream,490.000000,6.20621859e+37
number_density,freestream,500.000000,1.02394048e+38
number_density,freestream,510.000000,3.82433276e+37
number_density,freestream,520.000000,2.08780956e+37
number_density,freestream,530.000000,1.04062172e+38
number_density,freestream,540.000000,9.33365833e+37
number_density,freestream,550.000000,2.61085292e+36
number_density,freestream,560.000000,1.94167636e+37
number_density,freestream,570.000000,1.17019040e+37
number_density,freestream,580.000000,3.50086221e+36
number_density,freestream,590.000000,4.56842264e+37
number_density,freestream,600.000000,6.64200220e+37
number_density,freestream,610.000000,1.51422479e+36
number_density,freestream,620.000000,1.94446865e+37
number_density,freestream,630.000000,8.19456815e+36
number_density,freestream,640.000000,1.54767772e+37
number_density,freestream,650.000000,1.73539973e+35
number_density,freestream,660.000000,5.06999063e+36
number_density,freestream,670.000000,1.35276772e+36
number_density,freestream,680.000000,1.40593729e+37
number_density,freestream,690.000000,8.61118801e+36
number_density,freestream,700.000000,2.77279946e+36
number_density,freestream,710.000000,1.11724139e+37
number_density,freestream,720.000000,1.98953754e+37
