index,singular_value
245,1.9362845778286587e+03
246,1.9349714828728704e+03
247,1.9340420824370910e+03
248,1.9334574020632567e+03
249,1.9318046852053494e+03
250,1.9309308591775759e+03
251,1.9290911478825078e+03
252,1.9285555432261053e+03
253,1.9266211661531652e+03
254,1.9251566267794501e+03
255,1.9227231165926321e+03
256,1.9211799797762019e+03
257,1.9197878138014980e+03
258,1.9191510728492910e+03
259,1.9181443799921449e+03
260,1.9170962071432075e+03
261,1.9147038818139763e+03
262,1.9136825260260296e+03
263,1.9124926531180909e+03
264,1.9104593088815707e+03
265,1.9098189448601674e+03
266,1.9077045819882799e+03
267,1.9063180197471311e+03
268,1.9049556006291925e+03
269,1.9031748189167540e+03
270,1.9014647970458136e+03
271,1.9012328056222709e+03
272,1.8994614346960739e+03
273,1.8983097092816297e+03
274,1.8967463637367048e+03
275,1.8962998360447584e+03
276,1.8951663110024083e+03
277,1.8931983868766297e+03
278,1.8917880061970959e+03
279,1.8899813190840853e+03
280,1.8895356904572875e+03
281,1.8879773716452489e+03
282,1.8863402089204326e+03
283,1.8852582295652755e+03
284,1.8849995376140096e+03
285,1.8838625786827940e+03
286,1.8810805960650853e+03
287,1.8803368230076956e+03
288,1.8791968047354637e+03
289,1.8788814873029103e+03
290,1.8767524182249156e+03
291,1.8757517666530805e+03
292,1.8749313025322513e+03
293,1.8734370235618517e+03
294,1.8726848367764619e+03
295,1.8703369345954413e+03
296,1.8701044693040092e+03
297,1.8694332727305318e+03
298,1.8677442479080837e+03
299,1.8652607391006384e+03
300,1.8640311486911105e+03
301,1.8634063795227155e+03
302,1.8625997421956067e+03
303,1.8595589731634516e+03
304,1.8579790302146776e+03
305,1.8560112524929937e+03
306,1.8557698481946882e+03
307,1.8550959982910572e+03
308,1.8531098363769513e+03
309,1.8520977902404277e+03
310,1.8515714174901327e+03
311,1.8501972311105642e+03
312,1.8493768943756922e+03
313,1.8486508573975577e+03
314,1.8475848515326418e+03
315,1.8467080740990957e+03
316,1.8458774992404794e+03
317,1.8444954396029302e+03
318,1.8431203659732982e+03
319,1.8417909840249342e+03
320,1.8411827094072357e+03
321,1.8393153779195557e+03
322,1.8383186602983517e+03
323,1.8366356510642079e+03
324,1.8358177666262120e+03
325,1.8347571769292613e+03
326,1.8334921952674167e+03
327,1.8317021667598642e+03
328,1.8310940409160378e+03
329,1.8302216342342292e+03
330,1.8291092457560053e+03
331,1.8276395178168916e+03
332,1.8265752737198686e+03
333,1.8251907285324596e+03
334,1.8239062468234249e+03
335,1.8238153186927993e+03
336,1.8221812298385121e+03
337,1.8209987670831961e+03
338,1.8203148607874471e+03
339,1.8198660229554366e+03
340,1.8179013313267369e+03
341,1.8176927693781649e+03
342,1.8150646129790389e+03
343,1.8138462079123592e+03
344,1.8130535992386579e+03
345,1.8104108849819934e+03
346,1.8092712956018449e+03
347,1.8082406851755245e+03
348,1.8072197820200195e+03
349,1.8067456762365216e+03
350,1.8060980304060672e+03
351,1.8052064160328393e+03
352,1.8040251239883332e+03
353,1.8021534013029207e+03
354,1.8015132923498691e+03
355,1.8000751244377109e+03
356,1.7992932359395543e+03
357,1.7980474847329860e+03
