index,singular_value
397,1.1179734761489218e+24
398,1.1172097028096566e+24
399,1.1168818853399980e+24
400,1.1149497609165667e+24
401,1.1145798207157458e+24
402,1.1137466162691224e+24
403,1.1134432371352656e+24
404,1.1128237109908091e+24
405,1.1122696335106771e+24
406,1.1116164400754312e+24
407,1.1106136885052814e+24
408,1.1101067435192794e+24
409,1.1093608837545707e+24
410,1.1082052838664911e+24
411,1.1074732651325329e+24
412,1.1061155076240631e+24
413,1.1057930602077931e+24
414,1.1048355847537148e+24
415,1.1040200250376534e+24
416,1.1030465302829831e+24
417,1.1025246065968572e+24
418,1.1015918781047917e+24
419,1.1013359394473589e+24
420,1.1001013499721118e+24
421,1.0996055730853572e+24
422,1.0993050688989346e+24
423,1.0988962919191260e+24
424,1.0980602208493263e+24
425,1.0977194225483277e+24
426,1.0972780541817676e+24
427,1.0957231704322216e+24
428,1.0953685955116056e+24
429,1.0950736701196680e+24
430,1.0939724039558037e+24
431,1.0929486465955326e+24
432,1.0920712752843964e+24
433,1.0915168339423372e+24
434,1.0911729571629743e+24
435,1.0899093614997526e+24
436,1.0890158360668642e+24
437,1.0881475429502804e+24
438,1.0872570851270593e+24
439,1.0865312025549678e+24
440,1.0851735212181436e+24
441,1.0850075410637871e+24
442,1.0847433117537845e+24
443,1.0833150764723177e+24
444,1.0824434478655156e+24
445,1.0817693984797790e+24
446,1.0809730359828835e+24
447,1.0806292932291739e+24
448,1.0793442522398349e+24
449,1.0787740851244909e+24
450,1.0778410952692648e+24
451,1.0772292230366773e+24
452,1.0761351224940359e+24
453,1.0756747650047975e+24
454,1.0751450507583518e+24
455,1.0738234525275250e+24
456,1.0730557852786693e+24
457,1.0722739041252083e+24
458,1.0718191121362877e+24
459,1.0712587673876177e+24
460,1.0703892855871805e+24
461,1.0699463268405765e+24
462,1.0695073140213607e+24
463,1.0667153091910453e+24
464,1.0660525572929287e+24
465,1.0655086093602799e+24
466,1.0640548685103964e+24
467,1.0636154864616010e+24
468,1.0632082247592141e+24
469,1.0618055416019329e+24
470,1.0611051277519868e+24
471,1.0608513846643316e+24
472,1.0602954750924469e+24
473,1.0595231159349719e+24
474,1.0574413320221651e+24
475,1.0568176537262637e+24
476,1.0558739661290933e+24
